----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
     BatchNorm2d-262           [-1, 1056, 8, 8]           2,112
            SiLU-263           [-1, 1056, 8, 8]               0
          Conv2d-264           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-265           [-1, 1056, 8, 8]           2,112
            SiLU-266           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-267           [-1, 1056, 1, 1]               0
          Conv2d-268             [-1, 44, 1, 1]          46,508
            SiLU-269             [-1, 44, 1, 1]               0
          Conv2d-270           [-1, 1056, 1, 1]          47,520
         Sigmoid-271           [-1, 1056, 1, 1]               0
SqueezeExcitation-272           [-1, 1056, 8, 8]               0
          Conv2d-273            [-1, 176, 8, 8]         185,856
     BatchNorm2d-274            [-1, 176, 8, 8]             352
 StochasticDepth-275            [-1, 176, 8, 8]               0
          MBConv-276            [-1, 176, 8, 8]               0
          Conv2d-277           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-278           [-1, 1056, 8, 8]           2,112
            SiLU-279           [-1, 1056, 8, 8]               0
          Conv2d-280           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-281           [-1, 1056, 8, 8]           2,112
            SiLU-282           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-283           [-1, 1056, 1, 1]               0
          Conv2d-284             [-1, 44, 1, 1]          46,508
            SiLU-285             [-1, 44, 1, 1]               0
          Conv2d-286           [-1, 1056, 1, 1]          47,520
         Sigmoid-287           [-1, 1056, 1, 1]               0
SqueezeExcitation-288           [-1, 1056, 8, 8]               0
          Conv2d-289            [-1, 176, 8, 8]         185,856
     BatchNorm2d-290            [-1, 176, 8, 8]             352
 StochasticDepth-291            [-1, 176, 8, 8]               0
          MBConv-292            [-1, 176, 8, 8]               0
          Conv2d-293           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-294           [-1, 1056, 8, 8]           2,112
            SiLU-295           [-1, 1056, 8, 8]               0
          Conv2d-296           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-297           [-1, 1056, 8, 8]           2,112
            SiLU-298           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-299           [-1, 1056, 1, 1]               0
          Conv2d-300             [-1, 44, 1, 1]          46,508
            SiLU-301             [-1, 44, 1, 1]               0
          Conv2d-302           [-1, 1056, 1, 1]          47,520
         Sigmoid-303           [-1, 1056, 1, 1]               0
SqueezeExcitation-304           [-1, 1056, 8, 8]               0
          Conv2d-305            [-1, 176, 8, 8]         185,856
     BatchNorm2d-306            [-1, 176, 8, 8]             352
 StochasticDepth-307            [-1, 176, 8, 8]               0
          MBConv-308            [-1, 176, 8, 8]               0
          Conv2d-309           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-310           [-1, 1056, 8, 8]           2,112
            SiLU-311           [-1, 1056, 8, 8]               0
          Conv2d-312           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-313           [-1, 1056, 8, 8]           2,112
            SiLU-314           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-315           [-1, 1056, 1, 1]               0
          Conv2d-316             [-1, 44, 1, 1]          46,508
            SiLU-317             [-1, 44, 1, 1]               0
          Conv2d-318           [-1, 1056, 1, 1]          47,520
         Sigmoid-319           [-1, 1056, 1, 1]               0
SqueezeExcitation-320           [-1, 1056, 8, 8]               0
          Conv2d-321            [-1, 176, 8, 8]         185,856
     BatchNorm2d-322            [-1, 176, 8, 8]             352
 StochasticDepth-323            [-1, 176, 8, 8]               0
          MBConv-324            [-1, 176, 8, 8]               0
          Conv2d-325           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-326           [-1, 1056, 8, 8]           2,112
            SiLU-327           [-1, 1056, 8, 8]               0
          Conv2d-328           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-329           [-1, 1056, 8, 8]           2,112
            SiLU-330           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-331           [-1, 1056, 1, 1]               0
          Conv2d-332             [-1, 44, 1, 1]          46,508
            SiLU-333             [-1, 44, 1, 1]               0
          Conv2d-334           [-1, 1056, 1, 1]          47,520
         Sigmoid-335           [-1, 1056, 1, 1]               0
SqueezeExcitation-336           [-1, 1056, 8, 8]               0
          Conv2d-337            [-1, 176, 8, 8]         185,856
     BatchNorm2d-338            [-1, 176, 8, 8]             352
 StochasticDepth-339            [-1, 176, 8, 8]               0
          MBConv-340            [-1, 176, 8, 8]               0
          Conv2d-341           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-342           [-1, 1056, 8, 8]           2,112
            SiLU-343           [-1, 1056, 8, 8]               0
          Conv2d-344           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-345           [-1, 1056, 8, 8]           2,112
            SiLU-346           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-347           [-1, 1056, 1, 1]               0
          Conv2d-348             [-1, 44, 1, 1]          46,508
            SiLU-349             [-1, 44, 1, 1]               0
          Conv2d-350           [-1, 1056, 1, 1]          47,520
         Sigmoid-351           [-1, 1056, 1, 1]               0
SqueezeExcitation-352           [-1, 1056, 8, 8]               0
          Conv2d-353            [-1, 176, 8, 8]         185,856
     BatchNorm2d-354            [-1, 176, 8, 8]             352
 StochasticDepth-355            [-1, 176, 8, 8]               0
          MBConv-356            [-1, 176, 8, 8]               0
          Conv2d-357           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-358           [-1, 1056, 8, 8]           2,112
            SiLU-359           [-1, 1056, 8, 8]               0
          Conv2d-360           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-361           [-1, 1056, 8, 8]           2,112
            SiLU-362           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-363           [-1, 1056, 1, 1]               0
          Conv2d-364             [-1, 44, 1, 1]          46,508
            SiLU-365             [-1, 44, 1, 1]               0
          Conv2d-366           [-1, 1056, 1, 1]          47,520
         Sigmoid-367           [-1, 1056, 1, 1]               0
SqueezeExcitation-368           [-1, 1056, 8, 8]               0
          Conv2d-369            [-1, 176, 8, 8]         185,856
     BatchNorm2d-370            [-1, 176, 8, 8]             352
 StochasticDepth-371            [-1, 176, 8, 8]               0
          MBConv-372            [-1, 176, 8, 8]               0
          Conv2d-373           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-374           [-1, 1056, 8, 8]           2,112
            SiLU-375           [-1, 1056, 8, 8]               0
